PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abdulta01,Tariq Abdul-Wahad,SG,TOT,24,441,147,1,2,0.5,54,145,0.372,2001-2002
abdursh01,Shareef Abdur-Rahim,PF,ATL,77,2980,1297,21,70,0.3,577,1227,0.47,2001-2002
alexaco02,Courtney Alexander,SG,WAS,56,1325,474,5,18,0.278,218,456,0.478,2001-2002
alexavi01,Victor Alexander,C,DET,15,97,51,0,2,0.0,18,49,0.367,2001-2002
allenma01,Malik Allen,PF,MIA,12,161,51,0,1,0.0,22,50,0.44,2001-2002
allenra02,Ray Allen*,SG,MIL,69,2525,1148,229,528,0.434,301,620,0.485,2001-2002
alstora01,Rafer Alston,PG,MIL,50,600,191,27,71,0.38,39,120,0.325,2001-2002
amaecjo01,John Amaechi,PF,UTA,54,586,166,0,0,,54,166,0.325,2001-2002
anderch01,Chris Andersen,C,DEN,24,262,74,0,4,0.0,25,70,0.357,2001-2002
anderde01,Derek Anderson,SG,POR,70,1860,612,85,228,0.373,162,384,0.422,2001-2002
anderke01,Kenny Anderson,PG,BOS,76,2430,716,9,33,0.273,303,683,0.444,2001-2002
anderni01,Nick Anderson,SG,MEM,15,219,76,13,48,0.271,8,28,0.286,2001-2002
andersh01,Shandon Anderson,SG,NYK,82,1596,373,39,141,0.277,110,232,0.474,2001-2002
anthogr01,Greg Anthony,PG,TOT,60,1514,475,48,163,0.294,135,312,0.433,2001-2002
arenagi01,Gilbert Arenas,PG,GSW,47,1155,384,39,113,0.345,135,271,0.498,2001-2002
armstbr01,Brandon Armstrong,SG,NJN,35,196,85,5,17,0.294,22,68,0.324,2001-2002
armstda01,Darrell Armstrong,PG,ORL,82,2730,828,139,398,0.349,208,430,0.484,2001-2002
arroyca01,Carlos Arroyo,PG,TOT,37,371,111,0,2,0.0,49,109,0.45,2001-2002
atkinch01,Chucky Atkins,PG,DET,79,2285,790,138,336,0.411,230,454,0.507,2001-2002
augmost01,Stacey Augmon,SG,CHH,77,1319,328,0,3,0.0,140,325,0.431,2001-2002
austiis01,Isaac Austin,C,MEM,21,307,92,0,3,0.0,36,89,0.404,2001-2002
averywi01,William Avery,PG,MIN,28,258,90,6,35,0.171,20,55,0.364,2001-2002
bagarda01,Dalibor Bagarić,C,CHI,50,638,178,0,1,0.0,72,177,0.407,2001-2002
bakervi01,Vin Baker,C,SEA,55,1710,649,1,8,0.125,314,641,0.49,2001-2002
barkler01,Erick Barkley,PG,POR,19,228,68,1,7,0.143,23,61,0.377,2001-2002
barroda01,Dana Barros,PG,DET,29,582,192,24,71,0.338,50,121,0.413,2001-2002
barrybr01,Brent Barry,SG,SEA,81,3040,790,164,387,0.424,237,403,0.588,2001-2002
barryjo01,Jon Barry,SG,DET,82,1985,522,121,258,0.469,134,264,0.508,2001-2002
bateeme01,Mengke Bateer,C,DEN,27,408,132,4,12,0.333,49,120,0.408,2001-2002
battito01,Tony Battie,C,BOS,74,1819,390,0,2,0.0,211,388,0.544,2001-2002
battish01,Shane Battier,SF,MEM,78,3097,961,103,276,0.373,309,685,0.451,2001-2002
bellch01,Charlie Bell,SG,TOT,7,44,11,0,6,0.0,3,5,0.6,2001-2002
bellra01,Raja Bell,SG,PHI,74,890,240,12,44,0.273,91,196,0.464,2001-2002
bendejo01,Jonathan Bender,SF,IND,78,1647,460,45,125,0.36,153,335,0.457,2001-2002
besttr01,Travis Best,PG,TOT,74,1747,518,21,59,0.356,207,459,0.451,2001-2002
bibbymi01,Mike Bibby,PG,SAC,80,2659,985,51,138,0.37,395,847,0.466,2001-2002
billuch01,Chauncey Billups,PG,MIN,82,2355,823,124,315,0.394,224,508,0.441,2001-2002
blaylmo01,Mookie Blaylock,PG,GSW,35,599,146,15,42,0.357,35,104,0.337,2001-2002
blounco01,Corie Blount,PF,PHI,72,1426,251,0,1,0.0,115,250,0.46,2001-2002
blounma01,Mark Blount,C,BOS,44,415,76,0,0,,32,76,0.421,2001-2002
boothca01,Calvin Booth,C,SEA,15,279,82,0,0,,35,82,0.427,2001-2002
boumtru01,Ruben Boumtje-Boumtje,C,POR,33,245,32,0,0,,13,32,0.406,2001-2002
bowdlca01,Cal Bowdler,PF,ATL,52,585,174,1,5,0.2,60,169,0.355,2001-2002
bowenbr01,Bruce Bowen,SF,SAS,59,1699,398,56,148,0.378,99,250,0.396,2001-2002
bowenry01,Ryan Bowen,SF,DEN,75,1686,307,1,12,0.083,146,295,0.495,2001-2002
bowmair01,Ira Bowman,SG,PHI,3,29,7,0,1,0.0,5,6,0.833,2001-2002
boykiea01,Earl Boykins,PG,LAC,68,761,275,13,42,0.31,97,233,0.416,2001-2002
bradlmi01,Michael Bradley,PF,TOR,26,118,25,0,2,0.0,13,23,0.565,2001-2002
bradlsh01,Shawn Bradley,C,DAL,53,757,163,0,1,0.0,78,162,0.481,2001-2002
brandel01,Elton Brand,PF,LAC,80,3020,1010,0,0,,532,1010,0.527,2001-2002
brandte01,Terrell Brandon,PG,MIN,32,962,365,4,23,0.174,151,342,0.442,2001-2002
breweja01,Jamison Brewer,SG,IND,13,43,5,0,1,0.0,2,4,0.5,2001-2002
brezepr01,Primož Brezec,C,IND,22,160,29,0,0,,14,29,0.483,2001-2002
brownch01,Chucky Brown,SF,SAC,18,92,27,0,0,,10,27,0.37,2001-2002
brownda02,Damone Brown,SF,PHI,17,67,21,0,1,0.0,8,20,0.4,2001-2002
brownde01,Dee Brown,PG,ORL,7,65,20,1,12,0.083,2,8,0.25,2001-2002
browner01,Ernest Brown,C,MIA,3,21,6,0,0,,1,6,0.167,2001-2002
brownke01,Kedrick Brown,SF,BOS,29,245,70,5,27,0.185,18,43,0.419,2001-2002
brownkw01,Kwame Brown,PF,WAS,57,817,243,0,1,0.0,94,242,0.388,2001-2002
brownpj01,P.J. Brown,C,CHH,80,2563,527,0,0,,250,527,0.474,2001-2002
brownra02,Randy Brown,PG,BOS,1,6,1,0,0,,0,1,0.0,2001-2002
brownti01,Tierre Brown,SG,HOU,40,403,115,4,12,0.333,45,103,0.437,2001-2002
brunsri01,Rick Brunson,PG,POR,59,520,113,6,11,0.545,39,102,0.382,2001-2002
bryanko01,Kobe Bryant*,SG,LAL,80,3063,1597,33,132,0.25,716,1465,0.489,2001-2002
bryanma01,Mark Bryant,PF,SAS,30,206,55,0,0,,25,55,0.455,2001-2002
buckngr01,Greg Buckner,SG,DAL,44,885,198,5,16,0.313,99,182,0.544,2001-2002
buechju01,Jud Buechler,SF,TOT,66,684,118,21,60,0.35,23,58,0.397,2001-2002
buforro01,Rodney Buford,SG,MEM,63,1769,593,17,70,0.243,241,523,0.461,2001-2002
bullama01,Matt Bullard,PF,CHH,31,350,115,16,57,0.281,23,58,0.397,2001-2002
butlemi02,Mitchell Butler,SG,POR,11,90,23,1,3,0.333,9,20,0.45,2001-2002
caffeja01,Jason Caffey,PF,MIL,23,283,72,0,1,0.0,36,71,0.507,2001-2002
cambyma01,Marcus Camby,C,NYK,29,1007,290,0,1,0.0,130,289,0.45,2001-2002
campbel01,Elden Campbell,PF,CHH,77,2156,794,0,2,0.0,384,792,0.485,2001-2002
cardibr01,Brian Cardinal,PF,DET,8,43,13,3,7,0.429,3,6,0.5,2001-2002
cartean01,Anthony Carter,PG,MIA,46,1050,260,1,19,0.053,88,241,0.365,2001-2002
cartevi01,Vince Carter,SG,TOR,60,2385,1307,121,313,0.387,438,994,0.441,2001-2002
cassesa01,Sam Cassell,PG,MIL,74,2605,1197,71,204,0.348,483,993,0.486,2001-2002
catoke01,Kelvin Cato,C,HOU,75,1917,326,0,1,0.0,190,325,0.585,2001-2002
chandty01,Tyson Chandler,C,CHI,71,1389,304,0,0,,151,304,0.497,2001-2002
cheanca01,Calbert Cheaney,SG,DEN,68,1631,466,0,4,0.0,224,462,0.485,2001-2002
childch01,Chris Childs,PG,TOR,69,1576,296,33,120,0.275,64,176,0.364,2001-2002
chrisdo01,Doug Christie,SG,SAC,81,2798,735,90,256,0.352,248,479,0.518,2001-2002
clarkke01,Keon Clark,C,TOR,81,2185,775,0,5,0.0,380,770,0.494,2001-2002
claxtsp01,Speedy Claxton,PG,PHI,67,1528,452,4,33,0.121,177,419,0.422,2001-2002
cleavma01,Mateen Cleaves,PG,SAC,32,153,68,2,8,0.25,28,60,0.467,2001-2002
colemde01,Derrick Coleman,PF,PHI,58,2080,735,28,83,0.337,303,652,0.465,2001-2002
colesbi01,Bimbo Coles,PG,CLE,47,693,146,4,20,0.2,52,126,0.413,2001-2002
collija02,Jason Collier,C,HOU,25,365,95,0,1,0.0,41,94,0.436,2001-2002
collija03,Jarron Collins,C,UTA,70,1440,343,0,1,0.0,158,342,0.462,2001-2002
collija04,Jason Collins,C,NJN,77,1407,278,1,2,0.5,116,276,0.42,2001-2002
crawfch01,Chris Crawford,PF,ATL,7,131,45,0,1,0.0,21,44,0.477,2001-2002
crawfja01,Jamal Crawford,PG,CHI,23,481,187,26,58,0.448,63,129,0.488,2001-2002
crispjo01,Joe Crispin,PG,TOT,21,156,68,15,39,0.385,11,29,0.379,2001-2002
croshau01,Austin Croshere,PF,IND,76,1286,448,49,145,0.338,136,303,0.449,2001-2002
crottjo01,John Crotty,PG,UTA,41,802,208,31,69,0.449,67,139,0.482,2001-2002
cummivo01,Vonteego Cummings,PG,PHI,58,501,187,12,46,0.261,66,141,0.468,2001-2002
curryde01,Dell Curry,SG,TOR,56,886,347,45,131,0.344,96,216,0.444,2001-2002
curryed01,Eddy Curry,C,CHI,72,1150,377,0,0,,189,377,0.501,2001-2002
currymi01,Michael Curry,SG,DET,82,1912,276,7,26,0.269,118,250,0.472,2001-2002
dalemsa01,Samuel Dalembert,C,PHI,34,177,50,0,0,,22,50,0.44,2001-2002
dampier01,Erick Dampier,C,GSW,73,1740,480,0,0,,209,480,0.435,2001-2002
daniean01,Antonio Daniels,SG,SAS,82,2175,612,57,196,0.291,212,416,0.51,2001-2002
davisan01,Antonio Davis,PF,TOR,77,2978,963,0,1,0.0,410,962,0.426,2001-2002
davisba01,Baron Davis,PG,CHH,82,3318,1341,170,478,0.356,389,863,0.451,2001-2002
davisda01,Dale Davis,C,POR,78,2447,580,0,0,,296,580,0.51,2001-2002
davisem01,Emanual Davis,PG,ATL,28,774,198,29,85,0.341,41,113,0.363,2001-2002
davishu01,Hubert Davis,SG,WAS,51,1231,326,57,126,0.452,89,200,0.445,2001-2002
davisri01,Ricky Davis,SF,CLE,82,1954,781,11,35,0.314,365,746,0.489,2001-2002
